Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.012;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.014;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.015;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.017;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380604;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.018;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380604;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.020;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380604;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.021;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380604;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.023;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380604;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.024;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.026;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.027;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470428;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.028;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470427;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.030;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470427;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.031;0.00;0.0000;0.00;0.00;0
11:2:3;9;6.380603;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.032;0.00;0.0000;0.00;0.00;0
